initialization 19.0548920631
reconstruction 207 3.56955099106
boundary 207 6.75802707672
fluxes 207 22.3414740562
rhs 207 47.4728980064
update 207 3.22386908531
reconstruction 208 3.55066108704
boundary 208 6.7571041584
fluxes 208 22.3249149323
rhs 208 47.4713380337
update 208 3.22365522385
reconstruction 209 3.56725502014
boundary 209 6.75674796104
fluxes 209 22.3283839226
rhs 209 47.4664461613
update 209 3.22435092926
reconstruction 210 3.55021905899
boundary 210 6.75826215744
fluxes 210 22.340775013
rhs 210 47.4793338776
update 210 3.22418308258
reconstruction 211 3.5683631897
boundary 211 6.75646901131
fluxes 211 22.3281781673
rhs 211 47.4827260971
update 211 3.22297000885
reconstruction 212 3.55107283592
boundary 212 6.75854992867
